comment,aspects
"Moving elsewhere, transferwise won. Edit : unfortunately interface of Chatterbank has changed after last update. Main thing what I liked was to clearly see current exchange rate. That's gone now. I don't need stock market and bitcoin on my backpack travel. It's time to try transferwise card and compare it with Chatterbank.","['824.company-brand.competitor.0', '824.online-experience.updates-versions.0']"
Never seen in terms of quality of banking service!,['824.company-brand.general-satisfaction.0']
"Love it , quick, easy, simple allows me to keep track of my finances any time of day and move my savings back and forwards as many times as I like !",['824.company-brand.convenience.0']
"The way the bank deals with the customers enquires are the best ever, get notifications straight away on the purchase. Best bank ever","['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"I hate the new design, so hard for me to use it now...how can i go to previous versions?",['824.online-experience.updates-versions.0']
"Tsb software and the app are just rubbish. This one has decided to want to be updated without warning just as i wanted to access my a/c and the app is chuffing about so it wont download and i cant get o to my account ironically recommended by text by tsb. Nothing but trouble for over a year, logging in is a task and a half, it is one of the worst apps. Ihad to give a star in order to post, talk about fiddling the results!",['824.account-management.account-access.0']
Great and very useful banking app,['824.company-brand.general-satisfaction.0']
"I've used them for a few years, and am very happy with the service. A great bank for those who never use bank branches anyway and prefer to do all their banking on their phone.",['824.company-brand.general-satisfaction.0']
"Convenient, very easy to use, the N26 card is very useful for travelers whether small or large",['824.company-brand.convenience.0']
"GHsbc insurance advance aspects , this was the worse experience in my life , I had my phone stolen, after a battle with carphone warehouse they send me one to  Channel Islands , so far all normal after this the phone stop work after 3 weeks contact the insurance go trough all technical support and they told me I would have a replacement sent to me in 24 hours as I live in guernsey I say 24 isn’t really optional due to logistics, we agreed 48 hours , they told me the courier need to pick up the old phone and give new one what I ask that means I need be home , yes so far all good .
Two days gone with me at home no phone contact them and they couldn’t locate it , ok they reassure me they would check it with dpd , next day call them dpd lost the phone , they would send a another one ok this happen will be with me in two days , take time off work for swap the phone no phone again , wait until next working day Tuesday contact carphone warehouse, your phone will be you next day , and this gone one for a full week until Friday asking for speak with a manager or customer service from carphone warehouse  from Tuesday no contact made at any time during the week a extremely annoyed I contact hsbc complain line Wednesday and after a long call I ask to speak with a manager on duty , so far so good they log the complaint and I move on , Thursday I contact again carphone warehouse to try reach one manager or senior person, left my friend phone number due to the fact I just got Skype and I ask if they can contact me in one hour as I have a very important meeting during the afternoon, no call made I rang back their team and they made me aware we don’t have any manager available?
Ok later I gone to their customer service team and they told me we are shipping a phone today providing me a track reference.
I ask how many phone you send me they answer 4 , can I have the track number and they give the one for the last shipping one , I ask can I have the previous ones as I have the reasonable believe this never was actioned,they answer no we don’t have it ?
Later on that day I got a email to contact their customer service manager team , also they rang my friend when I precisely requested to call me at work on that morning, I call next day and they told me we don’t ship to guernsey phones my surprise was but you did it last months , after they told me I must post my phone back pay for the cost and they would refund me the cost providing the invoice their team would access the market value of the phone and they would do a settlement based on this conditions.
At this point I couldn’t believe it ?
Ok I agreed with it as they just been messing me around from day one ,contact hsbc customer service after again a long conversation I reach a manager who start to look in my previous complaint and told me this was archived as each time new team take over the logs are closed !
What is going on I ask , they was very apologetic but no clear directions .
Gone to my branch ask to speak with the branch manager what I was meet very promptly on the lobby go trough the summary and she told me I was looking at Uk  policy .
Ok can we check Channel Islands funny enough she didn’t know where to find the products they sale ... But I was reassured she will look in to it .
Later I check my emails and I found it send it back to her and funny enough is the same them uk , where states temporary mobile if requested I contact carphone warehouse for get one and they told me is just for the first claim if damage , I say this is my first claim you send one me before , as far I am concerned I just pay the excess for one claim.
No we don’t do that I send the policy to my solicitor and funny  enough is clear replacement when requested!

Conclusion no phone , very poor service miss sold a product,breach of contract , and charge every months ...

This is the worse experience in my life ....
I have spend 14 hours on calls during this time took 30 hours of work to be told is my fault because I live in guernsey from carphone warehouse.
Please have a look at the policy Ciiom from Hsbc ...
Very impressive HSBC",['824.company-brand.general-satisfaction.0']
"So easy to set up. One of the things I love about the Starling account is everything is instant! With other banks, when carrying out money transfers / BACS, you have some sort of wait, possibly days before your account shows the balance. with Starling, it is shown withing seconds. Love that!",['824.company-brand.competitor.0']
"Updates definitely improve this app. The signing in process is so much easier (fingerprint) and quicker once you have registered your device, plus the scan your own cheque deposits is fantastic",['824.account-management.fingerprint-facial-recognition.0']
I have been hounded all day to update my app. I did what was requested. But now I cannot use my mobile phone to pay in stores! Very embarrassing when at the checkout with goods to pay! Thankfully had my card with me. Don't know why it won't let me use mobile pay through the phone. Apart from that the app is very easy to use.,"['824.company-brand.convenience.0', '824.online-experience.updates-versions.0']"
"In one word,Amazing !",['824.company-brand.general-satisfaction.0']
"Great app visually and to use
Nice change of style to banking compared to the traditional banks",['824.company-brand.competitor.0']
very flexible and cooperative,['824.company-brand.general-satisfaction.0']
"Very good most of the time but occasionally difficult to get on. Even though I put correct password in, sometimes it tells me that it's wrong and i have to do new passwords. But overall it's a very good service!","['824.account-management.account-access.0', '824.company-brand.general-satisfaction.0']"
"Great app, always instant and exactly as I need. Never had any trouble with it. It's changed my banking to a smooth and efficient operation.",['824.company-brand.general-satisfaction.0']
"What a shambles Barclays are!  Out of the blue in May 2019 we received a letter saying there was a shortfall on our mortgage from Dec 2016!!!  This was in fact paid in July 2017. Customer service are next to useless. After three long calls in May and June 2019 we have had conflicting information, they have no record of letters THEY’VE sent and while they are happy to SAY there is no shortfall showing on the mortgage, they WILL NOT commit to putting that in a letter. The sooner this is paid off, the better. I can’t wait to see the back of such an incompetent bank with useless so called ‘customer service’ representatives and will never touch them again with a barge pole,,",['824.company-brand.general-satisfaction.0']
Good user experience,['824.company-brand.general-satisfaction.0']
Great app can do all I need to without going into town would give 10 stars if could,['824.company-brand.convenience.0']
Great way of handling money and payments at home and abroad.,['824.company-brand.general-satisfaction.0']
"Everything works instantly, free of charge currency conversion, credit cards.",['824.company-brand.general-satisfaction.0']
"I tried Chatterbank metal. After a year, I have found that whenever I want to use the card, the merchant is not supported (some crypto exchanges, which my other cards have worked with, but forced me to move my money to other accounts to make payments.). Then I tried the ‘feeless’ crypto purchases. It is not feeless, and the crypto you have purchased cannot be transferred out. They don’t tell you this before you purchase it. 
Therefore the account has cost me £12.99 per month, I can’t use the card when I want and I was largely dissatisfied, so I thought I would cancel the plan and close the account. Turns out that this is a Herculean task. You have to cancel the plan first (and pay if you’re not at the end of the plan period). Fine. I waited to the end, then you try to close the account and can’t because the plan needs to be ended first. Try to end the plan and there is an ‘unknown error’. Leave it a few weeks. Try again, and still no go. I cannot end my plan and / or close my account. 
I STRONGLY suggest not signing up to a Chatterbank account. 
No idea what to do now.",['824.company-brand.competitor.0']
Almost no assistance. I just have to change an email but the process is difficult,['824.staff-support.email.0']
2west,['824.company-brand.general-satisfaction.0']
Super functional with the ability far more elements of banking than my experiences with other banking apps.,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"Very happy with the service, and feel safe with the way my account is looked after",['824.company-brand.general-satisfaction.0']
"Awesome app i love you, best banking app i know :)",['824.company-brand.competitor.0']
Mostly OK .... But pending transaction should also include pending transfers,['824.company-brand.general-satisfaction.0']
"So far so good, haven’t used it abroad yet.

This card is brilliant. Used in Spain with no problems at all.",['824.company-brand.general-satisfaction.0']
The best app so easy to use,['824.company-brand.competitor.0']
"I liked the App, it has been almost 3 months that I use it and it has left me satisfied. I recommend!",['824.company-brand.general-satisfaction.0']
now I've got used to it its v good,['824.company-brand.general-satisfaction.0']
Banking made simpler,['824.company-brand.general-satisfaction.0']
"Perfectly good for almost anyone, a hassle to pay people if you are under 16 but you won’t find anything else making it easyer.",['824.company-brand.general-satisfaction.0']
It was really easy to open the account and since doing so I’ve had excellent experiences with all transactions,['824.company-brand.general-satisfaction.0']
im so so upset i cant belive what this horrible people done to me.im Costemer for 3 years and pay the monthly fee. all the time. all i have is my children benefits inside and they lock my account they told me that ufter 28 days they will transfer my funds in difrent account . my children cant wait 28 days i need to buy food for them this is a big fraud this is what you get if you dont stay out from this horrible monese ufter they use you they trow you out only for improve they service shame on u,['824.company-brand.general-satisfaction.0']
Everything i want to do works as it should with no drama.,['824.company-brand.general-satisfaction.0']
Hold on to an old app as long as possible,['824.online-experience.updates-versions.0']
"Perfect, very easy to use.",['824.company-brand.general-satisfaction.0']
I can do almost everything without going into the bank..and anytime of day ..kisses love it,"['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
"Easy to use app, great banking",['824.company-brand.general-satisfaction.0']
Finally got my account to work and then a new error pops up at every step. I give up 🙃,['824.account-management.account-access.0']
"Not working after update, not impressed",['824.online-experience.updates-versions.0']
I have been using this app for years! Can be temperamental as all apps are but updates have been great! Always room for improvement!,['824.online-experience.updates-versions.0']
Still far away from becoming an effective app with no issues at all. Please review all its aspects and please work hard on it to make it better and make sure you fire your IT department as they don’t know what they are doing. Disappointed for good I’m not gonna close my bank account  or delete the app as I need to see transactions even if it takes ages to access to it. But I’ll be waiting to see improvements. Until then count on me to make bad reviews every once in a wile until I get what I want from you...  your app working nicely,['824.account-management.account-access.0']
Great addition to change payment references. Makes life a lot easier. Thank you,['824.company-brand.convenience.0']
"Not only the service itself is not working well, I mean the payments that are not processed, that you can’t take your money out of the ATM, but also they crammed the application with so many unneeded features that you can hardly find the needed ones...",['824.company-brand.general-satisfaction.0']
Allows me to do everything I need to do while on the move without the use of laptop or desktop PC's. The account information provided is more up to date than the information available via my laptop or desktop.,['824.company-brand.convenience.0']
Please can we have the old version back!,['824.online-experience.updates-versions.0']
Very simple interface and so easy to manage your account and savings. Feels like banking for the 21st century.,['824.company-brand.general-satisfaction.0']
In my opinion until now this is the best ever with multiple options. I really recomand without doubt.,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
I love this app. It helps me organise my finances like no other high Street bank app does! Absolutely love it.,['824.company-brand.convenience.0']
"No problem so far , except I took the metal card to get the insurance when I travel ... and you don t support insurance of travel exceed one month and I travel for 3 month...",['824.company-brand.general-satisfaction.0']
Spent whole weekend on phone as card AND account blocked.   Unable to access any of my accounts or get money as PIN number not recognised.  Trying to explain myself as I have disabilities and need funds payments for transport etc but refused have to wait 6 working days for pin reminder.  Was with different bank had a marker that I was a “vulnerable” customer but apptTSB doesn’t do anything like that!  Don’t allow code for emergency funds. So so upset and frustrated don’t know how to get outside???,['824.account-management.account-access.0']
"The App just works, all I need at my fingertips",['824.company-brand.convenience.0']
"love it, great option when funds are low",['824.company-brand.general-satisfaction.0']
keeps logging me off when i want to check balances every single time... i need to keep trying my luck by retrying,['824.account-management.account-access.0']
The app is better than the bank. Which is useless.,['824.company-brand.competitor.0']
Great bank &amp; service 😊,['824.company-brand.general-satisfaction.0']
It's an excellent service absolutely free 🙂👏💃🌞,['824.company-brand.general-satisfaction.0']
"About 3 weeks ago, we were with a boy shopping at the cash register, his card was rejected, so I paid for my purchases after returning home, my boyfriend tried to log in to the account unsuccessfully. After calling the bank, it turned out that they had blocked his account because the money had been received from HMRC and the consultant ordered him to send an e-mail confirmation confirming that he was settling the tax after sending the papers, he called several times to get information when the account would be unblocked. After going to a bank branch, they ordered him to send testimonies from previous years. Again, after sending tax returns from previous years, again zero information for more than a week after a few phone calls went again to a bank outlet where he was informed that his account was blocked for clarification because there is ongoing pending fraud proceedings. Lack of access to funds on the account and you had to pay for renting the house and bills we were so lucky that I still had money on my account and made payments. After paying for everything, we also don't have money for food anymore, we need to borrow cash from friends because I only have to pay in 2 weeks. And despite the calls and going to the bank, nobody knows when the account reflects whether they will do it and zero information on what basis it was blocked",['824.account-management.account-access.0']
"A fantastic app. I really do love the features and the convenience- the only thing I would love to see would be the ability to change the date the budgets start on, since the 1st of the month isn’t realistic for most people’s salaries",['824.company-brand.convenience.0']
"simple to use, I am happy with it.",['824.company-brand.general-satisfaction.0']
"I'd love people to stop using words such as banking or bank randomly, I don't think this is a bank, despite the term being all over the place. that is the reason i took one star from my review, please be more open about your position regarding your creditors, and do not leave the specified terms in documents a hundred pages long no one is gonna read",['824.company-brand.general-satisfaction.0']
Can't even login with the app now. Reinstalled twice and nothing. Taking my banking back to Wells Fargo.,['824.account-management.account-access.0']
"The application is very good ... It was really useful,cool!!","['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
Had no problems with the app until the update a few days ago. Now can't access the app. Have uninstalled and tried to install again but system not letting me. Very frustrating as I was using the app on a regular basis and would like to again.,"['824.account-management.account-access.0', '824.online-experience.updates-versions.0']"
Point 09 9 Sassari 99,['824.company-brand.general-satisfaction.0']
"Generally it's ok, but it lasts for some time when I want to transfer money to a different account and my card came 3 days later that assumed and now I'm waiting for a reward for my first payment. I don't like waiting, and here you must wait for everything, so I'm not fully satisfied, but generally recommend. I think that this would be far more attractive if there were more occasions to get additional money.",['824.company-brand.general-satisfaction.0']
Very helpful app to keep track of my finances,['824.company-brand.convenience.0']
It is useful and easy to use,['824.company-brand.convenience.0']
Well done easy to use very handy ti have,"['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
"I’ll be be honest I was a little sceptical at first with this type of banking but my only regret is I didn’t do it sooner.

Every process is simple and honestly explained, I’m hooked well done Starling.",['824.company-brand.general-satisfaction.0']
"been using Chatterbank for two years now and it has been great, I work and travel a lot within Europe and there is no real alternative to Chatterbank. The ease, speed and cost of transactions still amazes me. Also zero issues, ever. Just go for it!!",['824.company-brand.competitor.0']
"Great customer experience, I lost my card on a night out and managed to freeze my card instantly. I also got reimbursed for my fraudulent card spend after chatting to customer service through the in-app chat!",['824.company-brand.general-satisfaction.0']
Really good app works well with IPHONE easy to use can see all accounts and easy to transfer money and stop going into your over draft and help keep you in control,['824.company-brand.convenience.0']
"I hate the new update it’s not very intuitive and I can no longer make online payments when they refer to authorize within app, I get the pop up on my phone, click it and it opens the app but no option to authorize. I really hope this is fixed soon as currently I can’t buy online.",['824.online-experience.updates-versions.0']
Latest update has killed the app. Just crashes on launch.,['824.online-experience.updates-versions.0']
"Everything is just super, very convenient bank. I just couldn't figure out how to comment on a bank transfer.",['824.company-brand.general-satisfaction.0']
Haven’t tried it yet but being able to check all bank accounts in one app is an excellent idea!,['824.company-brand.convenience.0']
It's simple and easy to use. Very useful.,['824.company-brand.convenience.0']
"Compared to Chatterbank: worse UX, doesn't support as much currency and the Support team is slow and they don't really help. Doesn't recommend.",['824.company-brand.competitor.0']
moneylion is the shitznitz,['824.company-brand.general-satisfaction.0']
best app and fees,['824.company-brand.competitor.0']
"The Santander cash machine at my local branch in Rutherglen, Glasgow which allows you to deposit money outside of this bank is constantly out of order, so you can’t withdraw or pay money in. That’s the third time I’ve drove to this branch and it’s been out of order. As this is one of the only Santander branches locally it’s a real inconvenience, especially when the branch is closed. The que is always a mile long outside of the bank as well. Not great.","['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
"My partner just got his brand new bike stolen. Our excess unfortunately is quite high but other than that, I can't fault the service by First Direct in claiming it back on the contents insurance. 
Every person we've spoken to have been friendly and helpful. The questions asked were reasonable. The process was quick and easy and my partner should have his bike replaced in around just one week. This was much quicker and much easier than expected.",['824.company-brand.general-satisfaction.0']
I can't download this or get into my banking?,['824.account-management.account-access.0']
Working again after android update,['824.online-experience.updates-versions.0']
rubbish.. this is the worst banking app I've ever come across. transactions do not show on the app (but logging onto the web site they do strangely) unable to make payments to card from external source. what's the point of a mobile app if it does not show the information as quick as the web site?????,['824.account-management.account-access.0']
I need to update my ID but the app is not opening! After informing my password it stays in the loading page forever. What should I do?,['824.account-management.account-access.0']
"It works, you can do almost everything you'd want to and it's a more simple login than browser.","['824.account-management.account-access.0', '824.company-brand.general-satisfaction.0']"
"Goodbuy greedy banks!! 
I love this bank.. all to say! 
(Danish guy Living in Denmark/Austria)",['824.company-brand.general-satisfaction.0']
The bug registration at the level of the creation of my password so I can not use the site,['824.account-management.account-access.0']
"correct my name. got a reply from customer support that this had already been done after I explained my minor mistake, but no. still missing an 'a' at the end of my first name. very annoying. so, maybe starting over again will fix the issue. if I uninstalled, do I get to start over? probably got the best. I don't really need to switch banks.",['824.account-management.account-access.0']
Superb customer service I ever experienced with a bank. My name has been changed and they smoothly done it in their system within seconds.,['824.company-brand.general-satisfaction.0']
Best bank for Nomads,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"Brilliant, quick, easy",['824.company-brand.general-satisfaction.0']
"Very good and safe payment card.
Online app easy to use.",['824.company-brand.general-satisfaction.0']
Does what it says and a lot more. Works for me.,['824.company-brand.general-satisfaction.0']
"My experience in one word : smooth ! 
I love it,  the backup people are so professional and efficient, the platform (app) so intuitive, the services awesome, can't complain ! I recommend it !",['824.company-brand.general-satisfaction.0']
Much better than the new app. Once this app is deprecated I'll move bank rather than use the new app.,['824.company-brand.convenience.0']
Before they changed the layout of your balance it was soooo easy to understand how much money you had in your account!! Now they have changed it so it doesn’t include your overdraft so you have to keep logging on and off app to use your calculator to figure out how much money you actually have available!!! They didn’t even think to put a calculator with the app!! Absolutely rubbish and so confusing not happy!!,['824.account-management.account-access.0']
"Poor customer service, with dated security protocols and account capabilities. One of the worst banks out there, they've closed most of their branches but expect you to go into branch for the must crucial processes. Transfer limits and control on your money is limited massively and Natwest are intrusive through their requirements.",['824.company-brand.general-satisfaction.0']
Doesn't seem to work on my new nokia 7.2 . Just won't go from the logo screen to login screen. Tried to install again but still have same problem. Never had problems before.,['824.account-management.account-access.0']
so easy to use...banking on the go is very convenient.,['824.company-brand.convenience.0']
Clean. Works well,['824.attributes.cleanliness.0']
"Picks and chooses when it wants to open up, 90% of the time it won’t load when trying to log in. Quicker to go to the bank to check your balance.",['824.account-management.account-access.0']
Simply extraordinary service. I am a Premium user and could not have spent my money better.,['824.company-brand.general-satisfaction.0']
Good but not as good as other banking apps,['824.company-brand.general-satisfaction.0']
"awesome, because you get the interbank rate",['824.company-brand.general-satisfaction.0']
"One star seems generous in the extreme. This bank truly rates as one of the worst customer experiences of all time.
How can a business that generates so much cash, yet provides such rubbish customer service be in business at all!",['824.company-brand.general-satisfaction.0']
Great and easy to use! Best user experience ever in banking!,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"This App Is Amazing, I've Had Problems With The App But Not Enough To Complain About (When There Fixing And Updating The App, Lasts For A Night/Day Tops) Can Transfer Money To Other Accounts And Check Your Accounts (What Goes In Or Out) Easy. I've Had The App For Years And Years And I've Never Had A Problem With My Money 💰 I Would Recommend... 10/10 x",['824.online-experience.updates-versions.0']
Good how to continue the lastest version,['824.online-experience.updates-versions.0']
Best Bank without hesitation,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
App is terrible at the moment as it just stays on the loading screen every 4/5 times of trying to login. Please fix,['824.account-management.account-access.0']
perfect when you cant get to bank its like bank in my pocket,['824.company-brand.general-satisfaction.0']
A Chatterbank ion!,['824.company-brand.general-satisfaction.0']
"This version is awful. Dates shown against DD in the app DO NOT MATCH the dates shown against the same DD via online banking.

Transactions are actually missing from the app but when you go into online banking they are there (as they should be). 

Really awful update.",['824.online-experience.updates-versions.0']
Helped me a lot during my trip to London Availability with Google Pay makes it even easier,['824.company-brand.convenience.0']
"The new version of the conditions of sale removes almost all the advantages of the metal subscription, the limit of free withdrawals drops sharply, more concierge, more lounge, card replacement charged 40 € ...",['824.online-experience.updates-versions.0']
"I never wanted online banking, I didn't see the point but its handy for so much more than just checking my balance (and how low it is ;) )",['824.company-brand.convenience.0']
"I would give zero stars if possible. This is the worst app ever. I’ve had it downloaded for more than a year only because I have an account. I’ve never been able to log Into my account using the mobile account, ever ever ever!!!. The app freezes constantly and the log on screen never appears. So I typically log on to the website to access my account. I thought hsbc just upgraded their app but I don’t see an upgrade. I have no confidence that this would ever get fixed...This is making me question if I should even have my money in this bank!!!!",['824.account-management.account-access.0']
"The best and quickest app, really easy to use. I love it.",['824.company-brand.competitor.0']
Very bad,['824.company-brand.general-satisfaction.0']
"Absolute waste of time, money and space... My nan a customer of some 30 plus years, since them forcing people to use apps an closing down local branches she has had to walk 7 miles 4 times in last 6 months because every time a substantial amount of money gets paid into her account they freeze access blagging the ""Can't establish connection bullsh*t"" on her phone app, so i helped her try web browser login even though 3 times a clerk at the branch set it up due to the same reason each time, her bank card isnt recognised an they never write down her unique I.d no. which is part of her customer No to login? So to sum it up,
 Cant do anything over the phone, Cant use your app which also states a samsung galaxy phone isn't up to date enough for their app despite working an hour before, but whats happened between that hour ohhh yes a substantial amount of money being paid in coincidence 4 times in 6 months i dont think so. 3rd cant do online never gave her unique num, Can't go to a local branch cause you've closed them all down within a 15 mile radius....","['824.account-management.account-access.0', '824.company-brand.convenience.0']"
Login failed over n over. After 6 attempts of it letting me in and asking if I wanted to enable finger print regardless of what I selected it would ask for a keypad code twice and kick me out over and over. I got to the survey once and it just loaded over and over and crashed the app..,"['824.account-management.fingerprint-facial-recognition.0', '824.account-management.account-access.0']"
"Really easy to use, very secure and very handy on the move.",['824.company-brand.convenience.0']
Exactly what is needed. Like having the bank in my pocket. Easy and useful.,"['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
I would give 0 but not an option. Too busy employing people who clearly have difficulty understanding what your saying to them and when you complain about an error on their part it's your fault. I'm absolutely disgusted with this company. Language barrier has caused a few mistakes from my account and I will certainly be moving accounts. Raging is in understatement,['824.company-brand.general-satisfaction.0']
Please fix this useless crap. Why don't you use the money that you have saved closing my local branch? Biggest mistake was opening an account with Yorkshire bank,['824.company-brand.general-satisfaction.0']
"Good, simple, quick.",['824.company-brand.general-satisfaction.0']
"Overall, very easy to use. I would find it more useful if there was an Inbound Payments sceen and an Inbound Payments Analysis screen from the front end to mimic the way Outbound Payments are shown across the two main screens rather than digging in to menus to see what has been paid to me, cheques pending etc. It could also show the status of payments i.e. pending/cleared, and from whom.",['824.company-brand.convenience.0']
"Having trouble logging in! Its telling me to download the latest version but I am already using the latest version! So now I can't check my account, fab!",['824.account-management.account-access.0']
I love my FD app and now I’ve discovered the digital key I can set up new payments from it which is so much easier than doing it on the desktop with the pin generator thing. Wish I’d done it sooner!!,['824.company-brand.convenience.0']
I havent been able to access my money for 149 days! Do not put more than £20 in this app! They froze my account on 11th May this year and have not returned my money. It has been 4 months of hell because my money is locked with them and they refuse to talk to me. I am suffering from stress due to loss of money but they don't care. I am in talks with the financial obsuman service to resolve this. Please heed this warning and other similar ones and use Monzo instead.,['824.company-brand.competitor.0']
very useful and efficient,"['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
Worst app ever! Continuously being locked out of internet banking! Having to re-register every single time! Even the staff in the bank can’t unlock it only to be locked out again!! Also when trying to send a review-strange that every nickname you ask for has ‘Already been taken!’ So review won’t send!!!,"['824.account-management.account-access.0', '824.company-brand.competitor.0']"
Very useful and never crashes,['824.company-brand.convenience.0']
very good with update,['824.online-experience.updates-versions.0']
Easy app; fast money transfers with no fees; excellent credit card issuing process. All can I say now is excellent,['824.company-brand.general-satisfaction.0']
It really works and they are really amazing just make sure you can pay back on payday ;),['824.company-brand.general-satisfaction.0']
"Can't even login/Sign-up, just get something went wrong constantly",['824.account-management.account-access.0']
Wonderful bank; wonderful app.,['824.company-brand.general-satisfaction.0']
Firstly I don’t understand people’s issues here. This is a fantastic bank. I’ve not had any issues. No delays on transfers. Payments etc. It’s very versatile and the help is there when you need it. I use this as my main account. Didn’t take long to set up. The only thing was the wait for the card (9days) but apart from that. Fantastic,['824.company-brand.general-satisfaction.0']
Great service. Good support team.,['824.company-brand.general-satisfaction.0']
Today the best bank application.,['824.company-brand.competitor.0']
"never had any problems, 100% secure x",['824.company-brand.general-satisfaction.0']
"Massive improvement on old app, better than TSB or Lloyds, easy to use and very convenient.  Thank you NatWest!",['824.company-brand.convenience.0']
Excellent bank easy to use banking app also,['824.company-brand.general-satisfaction.0']
"The latest update is really bad, it makes it more difficult to use the app. Now understanding the expenses made, or looking for past expenses is really difficult and less detailed than before. In addition, the interface is really more complex and ugly. It seems to me that, in an attempt to put more and more functions, you are making it worse. Please put back the old interface, or give the possibility to choose between old and new, and I will give 5 stars again. The update also came out with the renewal of METAL, (which I have not done and will not do if it does not return to the ancient dawn), since I was really disappointed. From primary account he has become, he is starting to miss quite a few bad shots.",['824.online-experience.updates-versions.0']
"I have used Chatterbank for travel purposes for a number of years. I started using it as a way to avoid holiday fees. This year I used it to move cryptocurrency off of Coinbase. Later this year I intend to use it again to receive money from my side hustle. Their app is easy to use and has lots of helpful features. My banking needs are sometimes complicated and I've never had Chatterbank let me down. I found their support staff helpful when I used them in 2015, but I haven't needed them since. I'm a bit of a money nerd and Chatterbank is my favourite product",['824.company-brand.competitor.0']
Terrible - Fledgling business and they locked my new business account (after i transferred my balance in) for 'Review' for days without even informing me,"['824.account-management.account-access.0', '824.company-brand.general-satisfaction.0']"
quick and easy to use and saves a trip to the cash point when you want to know if you've been paid!,['824.company-brand.convenience.0']
Barclays are always ahead of the game. This app makes bill-paying very convenient!,['824.company-brand.convenience.0']
"Been using this for years now and think it's brilliant. Out of all of the banking apps I use, this is by far the best. Well done Barclays.","['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
